2026-09-08 00:04:34.904 [http-nio-8080-exec-5] INFO  c.a.l.controller.PaymentController - POST /api/payments/checkout/9 - User: 13
2026-09-08 00:04:34.918 [http-nio-8080-exec-5] INFO  c.a.l.s.p.PaymentServiceImpl - Processing checkout for order 9: Original = 122.00 USD, Converted for PayRiff = 207.40 AZN (USD Rate: 1.70, EUR Rate: 1.9765)
2026-09-08 00:04:35.071 [http-nio-8080-exec-5] INFO  c.a.l.s.p.PaymentServiceImpl - PayRiff checkout created: orderId=9, providerOrderId=f3a50604-a7c3-4ddc-bec3-10603e525073, chargedAzn=207.40
2026-09-08 00:05:53.574 [http-nio-8080-exec-1] INFO  c.a.l.c.order.OrderController - GET /api/orders/9 - User: 13
2026-09-08 00:05:54.662 [http-nio-8080-exec-6] INFO  c.a.l.c.order.OrderController - GET /api/orders/9 - User: 13
2026-09-08 00:05:58.160 [http-nio-8080-exec-9] INFO  c.a.l.c.order.OrderController - GET /api/orders/me - User: 13, page: 0
2026-09-08 00:05:58.581 [http-nio-8080-exec-10] INFO  c.a.l.c.order.OrderController - GET /api/orders/me - User: 13, page: 0
2026-09-08 00:07:16.318 [http-nio-8080-exec-3] INFO  c.a.l.c.order.OrderController - GET /api/orders/9 - User: 13
2026-09-08 00:07:16.376 [http-nio-8080-exec-4] INFO  c.a.l.c.order.OrderController - GET /api/orders/9 - User: 13
2026-09-08 00:07:17.883 [http-nio-8080-exec-5] INFO  c.a.l.controller.PaymentController - POST /api/payments/checkout/9 - User: 13
2026-09-08 00:07:17.933 [http-nio-8080-exec-5] INFO  c.a.l.s.p.PaymentServiceImpl - Processing checkout for order 9: Original = 122.00 USD, Converted for PayRiff = 207.40 AZN (USD Rate: 1.70, EUR Rate: 1.9765)
2026-09-08 00:07:18.524 [http-nio-8080-exec-5] INFO  c.a.l.s.p.PaymentServiceImpl - PayRiff checkout created: orderId=9, providerOrderId=83d674b7-c9d2-475c-b4a0-e29bd1e9fb91, chargedAzn=207.40
2026-09-08 00:08:03.303 [http-nio-8080-exec-7] INFO  c.a.l.c.order.OrderController - GET /api/orders/me - User: 13, page: 0
2026-09-08 00:08:03.398 [http-nio-8080-exec-8] INFO  c.a.l.c.order.OrderController - GET /api/orders/me - User: 13, page: 0
2026-09-08 00:08:17.557 [http-nio-8080-exec-6] INFO  c.a.l.c.catalog.ProductController - GET /api/products - page: 0, filter: ProductFilterRequest(modelType=null, search=, page=0, size=12)
2026-09-08 00:08:17.733 [http-nio-8080-exec-6] INFO  c.a.l.s.c.ProductCatalogService - Fetching product catalog - page: 0, currency: USD
2026-09-08 00:08:18.112 [http-nio-8080-exec-6] INFO  c.a.l.c.ProductCatalogCacheRepository - Initial page cache hit for USD
2026-09-08 00:08:19.041 [http-nio-8080-exec-9] INFO  c.a.l.c.catalog.ProductController - GET /api/products - page: 0, filter: ProductFilterRequest(modelType=null, search=, page=0, size=12)
2026-09-08 00:08:19.098 [http-nio-8080-exec-9] INFO  c.a.l.s.c.ProductCatalogService - Fetching product catalog - page: 0, currency: USD
2026-09-08 00:08:19.115 [http-nio-8080-exec-9] INFO  c.a.l.c.ProductCatalogCacheRepository - Initial page cache hit for USD
2026-09-08 00:08:48.360 [http-nio-8080-exec-10] INFO  c.a.l.c.catalog.ProductController - GET /api/products - page: 0, filter: ProductFilterRequest(modelType=null, search=, page=0, size=12)
2026-09-08 00:08:48.392 [http-nio-8080-exec-10] INFO  c.a.l.s.c.ProductCatalogService - Fetching product catalog - page: 0, currency: USD
2026-09-08 00:08:48.430 [http-nio-8080-exec-10] INFO  c.a.l.c.ProductCatalogCacheRepository - Initial page cache hit for USD
2026-09-08 00:27:32.574 [http-nio-8080-exec-3] INFO  c.a.l.c.catalog.ProductController - GET /api/products - page: 0, filter: ProductFilterRequest(modelType=null, search=, page=0, size=12)
2026-09-08 00:27:32.686 [http-nio-8080-exec-3] INFO  c.a.l.s.c.ProductCatalogService - Fetching product catalog - page: 0, currency: USD
2026-09-08 00:27:33.096 [http-nio-8080-exec-3] INFO  c.a.l.c.ProductCatalogCacheRepository - Initial page cache hit for USD
2026-09-08 00:28:06.723 [http-nio-8080-exec-7] INFO  c.a.l.c.catalog.ProductController - GET /api/products - page: 0, filter: ProductFilterRequest(modelType=null, search=, page=0, size=12)
2026-09-08 00:28:06.728 [http-nio-8080-exec-7] INFO  c.a.l.s.c.ProductCatalogService - Fetching product catalog - page: 0, currency: USD
2026-09-08 00:28:06.749 [http-nio-8080-exec-7] INFO  c.a.l.c.ProductCatalogCacheRepository - Initial page cache hit for USD
2026-09-08 00:28:50.017 [http-nio-8080-exec-6] INFO  c.a.l.c.a.AdminPricingRuleController - GET /api/admin/pricing/rules
